slug,name,brand,description,category,subcategory,base_price,material,fit,tags,gender,primary_image_url,image_gallery,active
ff-road-runner-m,CloudStrike Road Runner,FitFinder Footwear,Everyday road running shoe with a dual-density foam midsole and engineered knit upper — balanced cushioning for training runs from 5K to marathon.,Footwear,Running Shoes,139.99,Engineered knit upper,Neutral,road running;daily trainer;cushioned;dual density;marathon;neutral,men's,/images/products/road-runner-m/front.jpg,"[{""url"":""/images/products/road-runner-m/front.jpg"",""altText"":""CloudStrike Men front"",""primary"":true},{""url"":""/images/products/road-runner-m/sole.jpg"",""altText"":""CloudStrike Men outsole"",""primary"":false}]",true
ff-road-runner-w,CloudStrike Road Runner,FitFinder Footwear,Women's everyday road running shoe with a dual-density foam midsole and engineered knit upper — same performance as the men's in a women's specific last.,Footwear,Running Shoes,139.99,Engineered knit upper,Neutral,road running;daily trainer;cushioned;women's specific;marathon;neutral,women's,/images/products/road-runner-w/front.jpg,"[{""url"":""/images/products/road-runner-w/front.jpg"",""altText"":""CloudStrike Women front"",""primary"":true},{""url"":""/images/products/road-runner-w/sole.jpg"",""altText"":""CloudStrike Women outsole"",""primary"":false}]",true
ff-speed-flat-m,RaceFlat Carbon Plate Shoe,FitFinder Footwear,Carbon-fibre plate road racing shoe with a full-length rocker midsole — built for PB attempts at 5K through half-marathon distances.,Footwear,Running Shoes,229.99,Carbon fibre plate midsole,Racing,carbon plate;racing flat;speed;PB;5K;half marathon;rocker,men's,/images/products/speed-flat-m/front.jpg,"[{""url"":""/images/products/speed-flat-m/front.jpg"",""altText"":""RaceFlat front"",""primary"":true},{""url"":""/images/products/speed-flat-m/sole.jpg"",""altText"":""RaceFlat carbon plate"",""primary"":false}]",true
ff-cushion-runner-w,UltraCush Daily Trainer,FitFinder Footwear,Maximum-cushion daily trainer with an extra-wide toe box and rocker geometry — prioritises comfort on long easy runs and recovery days.,Footwear,Running Shoes,149.99,Foam midsole wide toe box,Neutral,max cushion;wide toe box;daily trainer;recovery;easy run;rocker,women's,/images/products/cushion-runner-w/front.jpg,"[{""url"":""/images/products/cushion-runner-w/front.jpg"",""altText"":""UltraCush Trainer front"",""primary"":true},{""url"":""/images/products/cushion-runner-w/sole.jpg"",""altText"":""UltraCush Trainer outsole"",""primary"":false}]",true
ff-stability-shoe-m,StrideSure Stability Shoe,FitFinder Footwear,Medial post stability running shoe for mild to moderate overpronators — a firm heel counter and structured midsole guide your gait without overcorrecting.,Footwear,Running Shoes,144.99,Dual-density foam,Stability,stability;overpronation;medial post;structured;daily trainer;gait correction,men's,/images/products/stability-shoe-m/front.jpg,"[{""url"":""/images/products/stability-shoe-m/front.jpg"",""altText"":""StrideSure Stability front"",""primary"":true},{""url"":""/images/products/stability-shoe-m/back.jpg"",""altText"":""StrideSure Stability heel"",""primary"":false}]",true
ff-minimalist-shoe,BareFlex Minimalist Runner,FitFinder Footwear,Zero-drop minimalist running shoe with a 4mm rock plate and wide toe splay — strengthens foot muscles and encourages a natural forefoot strike.,Footwear,Running Shoes,109.99,Thin rubber outsole,Minimalist,minimalist;zero drop;barefoot;forefoot strike;wide toe box;natural running,unisex,/images/products/minimalist-shoe/front.jpg,"[{""url"":""/images/products/minimalist-shoe/front.jpg"",""altText"":""BareFlex Minimalist front"",""primary"":true},{""url"":""/images/products/minimalist-shoe/sole.jpg"",""altText"":""BareFlex Minimalist outsole"",""primary"":false}]",true
ff-track-spike,SprintEdge Track Spike,FitFinder Footwear,Sprint track spike with a 6-pin plate and snug sprint last — designed for 60m to 400m events on synthetic tracks.,Footwear,Running Shoes,119.99,Lightweight synthetic,Snug,track spike;sprint;60m;400m;competition;synthetic track,unisex,/images/products/track-spike/front.jpg,"[{""url"":""/images/products/track-spike/front.jpg"",""altText"":""SprintEdge Spike front"",""primary"":true},{""url"":""/images/products/track-spike/sole.jpg"",""altText"":""SprintEdge Spike plate"",""primary"":false}]",true
ff-recovery-shoe,EasyStride Recovery Shoe,FitFinder Footwear,Plush closed-toe recovery shoe with a soft foam footbed and easy slip-on design — designed to be worn in the hours after a race or hard workout.,Footwear,Running Shoes,79.99,Soft EVA foam,Relaxed,recovery shoe;post-race;slip-on;plush;soft;rest day,unisex,/images/products/recovery-shoe/front.jpg,"[{""url"":""/images/products/recovery-shoe/front.jpg"",""altText"":""EasyStride Recovery Shoe front"",""primary"":true},{""url"":""/images/products/recovery-shoe/side.jpg"",""altText"":""EasyStride Recovery Shoe side"",""primary"":false}]",true
ff-hiit-trainer-w,HIIT Pro Cross-Trainer,FitFinder Footwear,Low-profile women's cross-trainer with a lateral stability plate and rope-climb wrap — engineered for box jumps and barbell cycling in functional fitness.,Footwear,Training Shoes,129.99,Knit upper with TPU overlay,Structured,cross-training;HIIT;functional fitness;box jumps;rope climb;low profile,women's,/images/products/hiit-trainer-w/front.jpg,"[{""url"":""/images/products/hiit-trainer-w/front.jpg"",""altText"":""HIIT Pro Trainer front"",""primary"":true},{""url"":""/images/products/hiit-trainer-w/sole.jpg"",""altText"":""HIIT Pro Trainer outsole"",""primary"":false}]",true
ff-metcon-shoe,MetCon Lifter Shoe,FitFinder Strength,Olympic weightlifting shoe with a 22mm raised heel and non-compressible TPU midsole — for serious clean and jerk and snatch work.,Footwear,Training Shoes,169.99,Leather upper TPU midsole,Structured,weightlifting;olympic lifting;raised heel;TPU;snatch;clean and jerk;powerlifting,men's,/images/products/metcon-shoe/front.jpg,"[{""url"":""/images/products/metcon-shoe/front.jpg"",""altText"":""MetCon Lifter front"",""primary"":true},{""url"":""/images/products/metcon-shoe/heel.jpg"",""altText"":""MetCon Lifter raised heel"",""primary"":false}]",true
ff-agility-trainer,QuickStep Agility Trainer,FitFinder Athletics,Multi-directional agility trainer with a herringbone outsole and low-cut collar — ideal for tennis and basketball court training drills.,Footwear,Training Shoes,119.99,Synthetic mesh upper,Low-cut,agility;multi-directional;tennis;basketball;herringbone;court,unisex,/images/products/agility-trainer/front.jpg,"[{""url"":""/images/products/agility-trainer/front.jpg"",""altText"":""QuickStep Agility Trainer front"",""primary"":true},{""url"":""/images/products/agility-trainer/sole.jpg"",""altText"":""QuickStep herringbone outsole"",""primary"":false}]",true
ff-dance-sneaker,RhythmFlex Dance Sneaker,FitFinder Studio,Split-sole dance sneaker with a suede spin spot and flexible forefoot — built for hip-hop and contemporary dance that demands floor feel and pivot freedom.,Footwear,Training Shoes,89.99,Canvas suede split sole,Flexible,dance shoe;split sole;hip-hop;contemporary;spin spot;pivot;studio,women's,/images/products/dance-sneaker/front.jpg,"[{""url"":""/images/products/dance-sneaker/front.jpg"",""altText"":""RhythmFlex Sneaker front"",""primary"":true},{""url"":""/images/products/dance-sneaker/sole.jpg"",""altText"":""RhythmFlex split sole detail"",""primary"":false}]",true
ff-plyometric-shoe,BounceX Plyometric Trainer,FitFinder Athletics,Responsive full-length foam plyometric trainer with forefoot flex grooves — absorbs impact on box jumps and returns energy on depth jumps.,Footwear,Training Shoes,124.99,React foam midsole,Neutral,plyometric;box jump;depth jump;responsive foam;forefoot flex;explosive,unisex,/images/products/plyometric-shoe/front.jpg,"[{""url"":""/images/products/plyometric-shoe/front.jpg"",""altText"":""BounceX Plyometric front"",""primary"":true},{""url"":""/images/products/plyometric-shoe/sole.jpg"",""altText"":""BounceX outsole flex grooves"",""primary"":false}]",true
ff-hiking-boot-m,TerraGrip Mid Hiking Boot,FitFinder Trail,Waterproof mid-cut hiking boot with a Vibram Megagrip outsole and asymmetric lacing system — tackles technical trails and off-trail terrain with ease.,Footwear,Hiking & Outdoor,189.99,Waterproof nubuck leather,Structured,hiking boot;waterproof;Vibram;mid-cut;technical trail;off-trail,men's,/images/products/hiking-boot-m/front.jpg,"[{""url"":""/images/products/hiking-boot-m/front.jpg"",""altText"":""TerraGrip Boot men front"",""primary"":true},{""url"":""/images/products/hiking-boot-m/sole.jpg"",""altText"":""TerraGrip Vibram outsole"",""primary"":false}]",true
ff-hiking-boot-w,TerraGrip Mid Hiking Boot,FitFinder Trail,Women's-specific waterproof mid-cut hiking boot with a narrower heel and Vibram Megagrip outsole — same technical capability in a women's fit.,Footwear,Hiking & Outdoor,189.99,Waterproof nubuck leather,Structured,hiking boot;waterproof;Vibram;mid-cut;women's specific;technical trail,women's,/images/products/hiking-boot-w/front.jpg,"[{""url"":""/images/products/hiking-boot-w/front.jpg"",""altText"":""TerraGrip Boot women front"",""primary"":true},{""url"":""/images/products/hiking-boot-w/sole.jpg"",""altText"":""TerraGrip Women outsole"",""primary"":false}]",true
ff-trail-sandal,RockHopper Trail Sandal,FitFinder Trail,Open-toe trail sandal with Vibram rubber lugs and a quick-adjust heel strap — grip and drainage for river crossings and canyon hikes.,Footwear,Hiking & Outdoor,89.99,Nylon straps Vibram rubber,Open-toe,trail sandal;Vibram;river crossing;canyon;drainage;hiking,unisex,/images/products/trail-sandal/front.jpg,"[{""url"":""/images/products/trail-sandal/front.jpg"",""altText"":""RockHopper Sandal front"",""primary"":true},{""url"":""/images/products/trail-sandal/sole.jpg"",""altText"":""RockHopper Vibram outsole"",""primary"":false}]",true
ff-water-shoe,StreamFord Water Shoe,FitFinder Aquatics,Amphibious water shoe with drainage ports and a non-marking rubber outsole — for kayaking and paddleboarding where water entry is guaranteed.,Footwear,Hiking & Outdoor,59.99,Quick-dry mesh,Snug,water shoe;kayaking;paddleboarding;drainage;amphibious;non-marking,unisex,/images/products/water-shoe/front.jpg,"[{""url"":""/images/products/water-shoe/front.jpg"",""altText"":""StreamFord Water Shoe front"",""primary"":true},{""url"":""/images/products/water-shoe/sole.jpg"",""altText"":""StreamFord drainage ports"",""primary"":false}]",true
ff-mountaineer-boot,AlpineEdge Mountaineering Boot,FitFinder Alpine,Double-insulated mountaineering boot with a compatible crampon welt and plastic shell — built for technical ice and snow in sub-zero conditions.,Footwear,Hiking & Outdoor,549.99,Plastic shell foam liner,Structured,mountaineering;crampon;ice;snow;alpine;technical climbing;sub-zero,unisex,/images/products/mountaineer-boot/front.jpg,"[{""url"":""/images/products/mountaineer-boot/front.jpg"",""altText"":""AlpineEdge Boot front"",""primary"":true},{""url"":""/images/products/mountaineer-boot/welt.jpg"",""altText"":""AlpineEdge crampon welt"",""primary"":false}]",true
ff-recovery-slide,RecoverStep Slide,FitFinder Footwear,Wide-footbed recovery slide with an orthotic-grade contoured EVA footbed — designed to decompress feet and ankles in the hours after training.,Footwear,Sandals & Slides,44.99,EVA foam,Wide fit,recovery slide;post-workout;orthotics;EVA;decompression;rest,unisex,/images/products/recovery-slide/front.jpg,"[{""url"":""/images/products/recovery-slide/front.jpg"",""altText"":""RecoverStep Slide front"",""primary"":true},{""url"":""/images/products/recovery-slide/sole.jpg"",""altText"":""RecoverStep Slide footbed"",""primary"":false}]",true
ff-sport-sandal,ActiveStride Sport Sandal,FitFinder Trail,Adjustable sport sandal with a toe loop and cushioned EVA midsole — transitions from campsite to light trail without blinking.,Footwear,Sandals & Slides,64.99,Recycled nylon EVA,Regular,sport sandal;camp;light trail;adjustable;toe loop;versatile,unisex,/images/products/sport-sandal/front.jpg,"[{""url"":""/images/products/sport-sandal/front.jpg"",""altText"":""ActiveStride Sandal front"",""primary"":true},{""url"":""/images/products/sport-sandal/sole.jpg"",""altText"":""ActiveStride Sandal sole"",""primary"":false}]",true
ff-yoga-slipper,ZenFlex Yoga Slipper,FitFinder Studio,Non-slip toeless yoga slipper with a grip-dot sole and adjustable ankle strap — keeps feet warm between poses in studio and home practice.,Footwear,Sandals & Slides,34.99,Cotton lycra blend,Regular,yoga slipper;non-slip;toeless;grip;studio;home practice;ankle strap,women's,/images/products/yoga-slipper/front.jpg,"[{""url"":""/images/products/yoga-slipper/front.jpg"",""altText"":""ZenFlex Slipper front"",""primary"":true},{""url"":""/images/products/yoga-slipper/sole.jpg"",""altText"":""ZenFlex grip-dot sole"",""primary"":false}]",true
ff-aqua-sandal,TideStepper Aqua Sandal,FitFinder Aquatics,Quick-drain aqua sandal with a toe guard and adjustable webbing straps — built for beach and boat use where wet and dry conditions alternate.,Footwear,Sandals & Slides,49.99,Quick-dry webbing rubber,Regular,aqua sandal;beach;boat;quick dry;toe guard;water;adjustable,unisex,/images/products/aqua-sandal/front.jpg,"[{""url"":""/images/products/aqua-sandal/front.jpg"",""altText"":""TideStepper Aqua Sandal front"",""primary"":true},{""url"":""/images/products/aqua-sandal/sole.jpg"",""altText"":""TideStepper drain sole"",""primary"":false}]",true
ff-trucker-hat,Mesh Trucker Performance Hat,FitFinder Athletics,Five-panel mesh trucker cap with a moisture-wicking sweatband and snap-back closure — breathable coverage for sun-exposed training.,Accessories,Headwear,28.99,Polyester mesh,Adjustable,trucker hat;mesh;snapback;breathable;sun;training;cap,unisex,/images/products/trucker-hat/front.jpg,"[{""url"":""/images/products/trucker-hat/front.jpg"",""altText"":""Mesh Trucker Hat front"",""primary"":true},{""url"":""/images/products/trucker-hat/back.jpg"",""altText"":""Mesh Trucker Hat snap-back"",""primary"":false}]",true
ff-sun-visor,UltraLite Run Visor,FitFinder Athletics,Lightweight reflective visor with a wicking sweatband and low-profile brim — keeps sun off your face without trapping heat during hot-weather races.,Accessories,Headwear,22.99,Polyester,Adjustable,visor;running;sun;reflective;wicking;hot weather;race,women's,/images/products/sun-visor/front.jpg,"[{""url"":""/images/products/sun-visor/front.jpg"",""altText"":""UltraLite Visor front"",""primary"":true},{""url"":""/images/products/sun-visor/side.jpg"",""altText"":""UltraLite Visor side"",""primary"":false}]",true
ff-balaclava,ThermalShield Balaclava,FitFinder Alpine,Windproof fleece balaclava with a moisture-wicking face panel and chin vent — covers neck and face for ski days and winter trail runs.,Accessories,Headwear,29.99,Windproof fleece,One size,balaclava;windproof;fleece;winter;ski;neck;face cover;cold,unisex,/images/products/balaclava/front.jpg,"[{""url"":""/images/products/balaclava/front.jpg"",""altText"":""ThermalShield Balaclava front"",""primary"":true},{""url"":""/images/products/balaclava/side.jpg"",""altText"":""ThermalShield Balaclava side"",""primary"":false}]",true
ff-run-headband,SweatGuard Running Headband,FitFinder Athletics,Wide silicone-grip running headband with a towelling sweat zone — stays put at tempo pace and prevents sweat from dripping into eyes.,Accessories,Headwear,14.99,Stretchy polyester,One size,headband;running;sweat;anti-slip;silicone;wide;tempo,unisex,/images/products/run-headband/front.jpg,"[{""url"":""/images/products/run-headband/front.jpg"",""altText"":""SweatGuard Headband front"",""primary"":true},{""url"":""/images/products/run-headband/detail.jpg"",""altText"":""SweatGuard silicone grip detail"",""primary"":false}]",true
ff-neck-gaiter,MultiSport Neck Gaiter,FitFinder Athletics,Moisture-wicking multi-position neck gaiter that converts from balaclava to headband — UPF 30+ coverage for cycling and trail running.,Accessories,Headwear,18.99,Recycled polyester,One size,neck gaiter;multi-position;balaclava;headband;UPF 30;cycling;trail,unisex,/images/products/neck-gaiter/front.jpg,"[{""url"":""/images/products/neck-gaiter/front.jpg"",""altText"":""MultiSport Neck Gaiter front"",""primary"":true},{""url"":""/images/products/neck-gaiter/wearing.jpg"",""altText"":""MultiSport Gaiter as headband"",""primary"":false}]",true
ff-hydration-vest,TrailFlask Hydration Vest,FitFinder Trail,4L capacity trail running vest with two 500ml soft flasks and front storage pockets — fits close to the body with no bounce on technical terrain.,Accessories,Bags & Packs,129.99,Recycled ripstop nylon,Body fit,hydration vest;trail running;soft flask;4L;no bounce;storage;race vest,unisex,/images/products/hydration-vest/front.jpg,"[{""url"":""/images/products/hydration-vest/front.jpg"",""altText"":""TrailFlask Vest front"",""primary"":true},{""url"":""/images/products/hydration-vest/back.jpg"",""altText"":""TrailFlask Vest back storage"",""primary"":false}]",true
ff-run-belt,RaceDay Running Belt,FitFinder Athletics,Low-profile running belt with two side pockets and a zip main compartment — holds your phone and gels without shifting at marathon pace.,Accessories,Bags & Packs,29.99,Lycra nylon,One size,running belt;phone holder;gel storage;marathon;low profile;no bounce,unisex,/images/products/run-belt/front.jpg,"[{""url"":""/images/products/run-belt/front.jpg"",""altText"":""RaceDay Belt front"",""primary"":true},{""url"":""/images/products/run-belt/open.jpg"",""altText"":""RaceDay Belt compartments open"",""primary"":false}]",true
ff-gym-duffel,ProLocker Gym Duffel,FitFinder Essentials,40L gym duffel with a ventilated shoe compartment and wet/dry pocket — structured base keeps it upright in the locker room.,Accessories,Bags & Packs,79.99,600D polyester,One size,gym bag;duffel;40L;shoe compartment;wet dry;locker room;training,unisex,/images/products/gym-duffel/front.jpg,"[{""url"":""/images/products/gym-duffel/front.jpg"",""altText"":""ProLocker Duffel front"",""primary"":true},{""url"":""/images/products/gym-duffel/open.jpg"",""altText"":""ProLocker Duffel compartments"",""primary"":false}]",true
ff-trail-pack-20,Summit20 Trail Pack,FitFinder Trail,20L trail pack with a 2L hydration sleeve and trekking pole attachments — fast-access lid pocket and a hip belt that actually transfers load.,Accessories,Bags & Packs,149.99,Recycled ripstop nylon,Adjustable,trail pack;20L;hydration sleeve;trekking poles;hip belt;hiking;fastpacking,unisex,/images/products/trail-pack-20/front.jpg,"[{""url"":""/images/products/trail-pack-20/front.jpg"",""altText"":""Summit20 Pack front"",""primary"":true},{""url"":""/images/products/trail-pack-20/back.jpg"",""altText"":""Summit20 Pack back panel"",""primary"":false}]",true
ff-cycling-pack,AeroPack Cycling Backpack,FitFinder Cycle,12L aero cycling backpack with a hydration reservoir sleeve and magnetic tube clip — aerodynamic profile and shoulder straps that don't shift on aggressive descents.,Accessories,Bags & Packs,119.99,Ripstop nylon,Aero fit,cycling backpack;aero;12L;hydration;magnetic clip;road cycling,unisex,/images/products/cycling-pack/front.jpg,"[{""url"":""/images/products/cycling-pack/front.jpg"",""altText"":""AeroPack Cycling Backpack front"",""primary"":true},{""url"":""/images/products/cycling-pack/side.jpg"",""altText"":""AeroPack side profile"",""primary"":false}]",true
ff-swim-bag,AquaCarry Mesh Swim Bag,FitFinder Aquatics,Drawstring mesh swim bag with a waterproof zip pocket for valuables — allows wet gear to drip-dry without mildewing on the way home.,Accessories,Bags & Packs,19.99,Mesh nylon,One size,swim bag;mesh;drawstring;drip dry;pool;wet gear;valuables pocket,unisex,/images/products/swim-bag/front.jpg,"[{""url"":""/images/products/swim-bag/front.jpg"",""altText"":""AquaCarry Swim Bag front"",""primary"":true},{""url"":""/images/products/swim-bag/detail.jpg"",""altText"":""AquaCarry zip pocket detail"",""primary"":false}]",true
ff-run-gloves,ThermalGrip Running Gloves,FitFinder Athletics,Touchscreen-compatible thermal running gloves with a reflective wrist tab and flip-back mitten cover for versatile cold-weather running.,Accessories,Gloves & Sleeves,29.99,Thermal polyester,Regular,running gloves;thermal;touchscreen;reflective;flip-back;winter;cold weather,unisex,/images/products/run-gloves/front.jpg,"[{""url"":""/images/products/run-gloves/front.jpg"",""altText"":""ThermalGrip Gloves front"",""primary"":true},{""url"":""/images/products/run-gloves/back.jpg"",""altText"":""ThermalGrip Gloves back"",""primary"":false}]",true
ff-cycle-gloves,AeroGrip Cycling Gloves,FitFinder Cycle,Short-finger cycling gloves with silicone grip palm and gel padding — reduce road buzz on long rides and improve bar control in the wet.,Accessories,Gloves & Sleeves,34.99,Synthetic leather lycra,Regular,cycling gloves;short finger;silicone grip;gel padding;road buzz;wet weather,men's,/images/products/cycle-gloves/front.jpg,"[{""url"":""/images/products/cycle-gloves/front.jpg"",""altText"":""AeroGrip Cycling Gloves front"",""primary"":true},{""url"":""/images/products/cycle-gloves/palm.jpg"",""altText"":""AeroGrip gel palm detail"",""primary"":false}]",true
ff-lift-gloves,IronGrip Lifting Gloves,FitFinder Strength,Open-finger weightlifting gloves with a wrist wrap support and neoprene palm — protect hands on high-rep barbell work and pull-ups.,Accessories,Gloves & Sleeves,24.99,Neoprene leather blend,Regular,lifting gloves;wrist wrap;weightlifting;pull-ups;barbell;hand protection,unisex,/images/products/lift-gloves/front.jpg,"[{""url"":""/images/products/lift-gloves/front.jpg"",""altText"":""IronGrip Gloves front"",""primary"":true},{""url"":""/images/products/lift-gloves/palm.jpg"",""altText"":""IronGrip Gloves palm"",""primary"":false}]",true
ff-arm-sleeves,CompressAir Arm Sleeves,FitFinder Athletics,UV-blocking compression arm sleeves with graduated pressure from wrist to elbow — reduce arm fatigue on long rides and protect against sun and gravel rash.,Accessories,Gloves & Sleeves,24.99,Nylon elastane UPF,One size,arm sleeves;compression;UV;graduated;cycling;sun protection;gravel,unisex,/images/products/arm-sleeves/front.jpg,"[{""url"":""/images/products/arm-sleeves/front.jpg"",""altText"":""CompressAir Arm Sleeves front"",""primary"":true},{""url"":""/images/products/arm-sleeves/detail.jpg"",""altText"":""CompressAir graduated compression detail"",""primary"":false}]",true
ff-waterproof-mitt,StormShield Waterproof Mittens,FitFinder Alpine,Fully waterproof three-finger mittens with a reinforced palm and removable fleece liner — expedition-ready for ski touring and ice climbing belays.,Accessories,Gloves & Sleeves,89.99,Waterproof shell fleece liner,Regular,mittens;waterproof;fleece liner;ski touring;ice climbing;expedition;cold,unisex,/images/products/waterproof-mitt/front.jpg,"[{""url"":""/images/products/waterproof-mitt/front.jpg"",""altText"":""StormShield Mittens front"",""primary"":true},{""url"":""/images/products/waterproof-mitt/liner.jpg"",""altText"":""StormShield Mittens liner removed"",""primary"":false}]",true
ff-comp-run-sock,CompRun Compression Sock,FitFinder Athletics,Full-length graduated compression sock with 20–30 mmHg pressure and merino toe box — reduces calf fatigue and swelling on marathon and ultra-distance events.,Accessories,Socks,22.99,Merino nylon elastane,Compression,compression sock;20-30 mmHg;marathon;ultra;calf support;merino;graduated,unisex,/images/products/comp-run-sock/front.jpg,"[{""url"":""/images/products/comp-run-sock/front.jpg"",""altText"":""CompRun Compression Sock pair"",""primary"":true},{""url"":""/images/products/comp-run-sock/detail.jpg"",""altText"":""CompRun compression zone detail"",""primary"":false}]",true
ff-wool-hike-sock,AlpineWool Hiking Sock,FitFinder Trail,Mid-crew 60% merino hiking sock with targeted heel and toe cushioning — regulates temperature from hot valley trails to cold ridgelines.,Accessories,Socks,19.99,60% merino wool blend,Regular,hiking sock;merino;mid-crew;cushioned;temperature regulating;trail;blister,unisex,/images/products/wool-hike-sock/front.jpg,"[{""url"":""/images/products/wool-hike-sock/front.jpg"",""altText"":""AlpineWool Hiking Sock pair"",""primary"":true},{""url"":""/images/products/wool-hike-sock/detail.jpg"",""altText"":""AlpineWool cushion zone detail"",""primary"":false}]",true
ff-noshow-sock,InvisiFit No-Show Sock,FitFinder Athletics,Silicone-heel-tab no-show sock that stays hidden in low-cut trainers — breathable mesh top and cushioned sole for everyday gym wear.,Accessories,Socks,12.99,Cotton polyester blend,Regular,no-show;ankle sock;gym;trainer;silicone tab;breathable;everyday,unisex,/images/products/noshow-sock/front.jpg,"[{""url"":""/images/products/noshow-sock/front.jpg"",""altText"":""InvisiFit No-Show Sock pair"",""primary"":true},{""url"":""/images/products/noshow-sock/detail.jpg"",""altText"":""InvisiFit silicone tab detail"",""primary"":false}]",true
ff-cycle-sock,VeloFit Cycling Sock,FitFinder Cycle,6-inch cuff cycling sock with a reinforced arch band and moisture-wicking yarn — the right height for road cycling without tan lines.,Accessories,Socks,14.99,Nylon lycra,Regular,cycling sock;6-inch;arch support;wicking;road cycling;tan line,unisex,/images/products/cycle-sock/front.jpg,"[{""url"":""/images/products/cycle-sock/front.jpg"",""altText"":""VeloFit Cycling Sock pair"",""primary"":true},{""url"":""/images/products/cycle-sock/detail.jpg"",""altText"":""VeloFit arch band detail"",""primary"":false}]",true
ff-waterproof-sock,DryFoot Waterproof Sock,FitFinder Trail,Three-layer waterproof-breathable sock with a merino inner — keeps feet dry in stream crossings and muddy trail conditions without overheating.,Accessories,Socks,39.99,Waterproof membrane merino,Regular,waterproof sock;stream crossing;trail;mud;merino;dry;breathable,unisex,/images/products/waterproof-sock/front.jpg,"[{""url"":""/images/products/waterproof-sock/front.jpg"",""altText"":""DryFoot Waterproof Sock pair"",""primary"":true},{""url"":""/images/products/waterproof-sock/layer.jpg"",""altText"":""DryFoot three-layer construction"",""primary"":false}]",true
ff-sport-sunglass,ProVision Sport Sunglasses,FitFinder Tech,Wraparound sport sunglasses with polarised polycarbonate lenses and a rubber nose grip — reduce glare on water and snow for running and cycling.,Accessories,Eyewear,79.99,Polycarbonate TR90 frame,Wraparound,sunglasses;polarised;sport;wraparound;running;cycling;glare;UV400,unisex,/images/products/sport-sunglass/front.jpg,"[{""url"":""/images/products/sport-sunglass/front.jpg"",""altText"":""ProVision Sunglasses front"",""primary"":true},{""url"":""/images/products/sport-sunglass/side.jpg"",""altText"":""ProVision Sunglasses side"",""primary"":false}]",true
ff-swim-goggle,AquaVision Swim Goggles,FitFinder Aquatics,Low-profile swim goggles with UV-tinted anti-fog lenses and a leakproof silicone gasket — suitable for pool and open-water training.,Accessories,Eyewear,24.99,Polycarbonate silicone,One size,swim goggles;anti-fog;UV tint;open water;pool;silicone gasket;leakproof,unisex,/images/products/swim-goggle/front.jpg,"[{""url"":""/images/products/swim-goggle/front.jpg"",""altText"":""AquaVision Goggles front"",""primary"":true},{""url"":""/images/products/swim-goggle/side.jpg"",""altText"":""AquaVision Goggles side"",""primary"":false}]",true
ff-ski-goggle,PowderVision Ski Goggle,FitFinder Alpine,Spherical anti-fog ski goggle with a photochromic lens that adjusts from S1 to S3 in 30 seconds — compatible with most helmets and OTG glasses.,Accessories,Eyewear,169.99,Spherical polycarbonate,One size,ski goggle;snowboard;photochromic;anti-fog;helmet compatible;OTG;alpine,unisex,/images/products/ski-goggle/front.jpg,"[{""url"":""/images/products/ski-goggle/front.jpg"",""altText"":""PowderVision Goggle front"",""primary"":true},{""url"":""/images/products/ski-goggle/side.jpg"",""altText"":""PowderVision Goggle side"",""primary"":false}]",true
ff-cycling-glasses,AeroView Cycling Glasses,FitFinder Cycle,Interchangeable-lens cycling glasses with three lens tints included and a ventilated frame — eliminates fogging on hard climbs.,Accessories,Eyewear,89.99,TR90 polycarbonate,Wraparound,cycling glasses;interchangeable lens;ventilated;anti-fog;climbing;road cycling,unisex,/images/products/cycling-glasses/front.jpg,"[{""url"":""/images/products/cycling-glasses/front.jpg"",""altText"":""AeroView Glasses front"",""primary"":true},{""url"":""/images/products/cycling-glasses/lenses.jpg"",""altText"":""AeroView three lens set"",""primary"":false}]",true
ff-yoga-mat,GripZone Yoga Mat,FitFinder Studio,6mm natural rubber yoga mat with a closed-cell surface that grips sweat instead of slipping — alignment guides printed for beginners and advanced practitioners.,Equipment,Training,69.99,Natural rubber,One size,yoga mat;6mm;natural rubber;non-slip;alignment;hot yoga;pilates,unisex,/images/products/yoga-mat/front.jpg,"[{""url"":""/images/products/yoga-mat/front.jpg"",""altText"":""GripZone Yoga Mat top"",""primary"":true},{""url"":""/images/products/yoga-mat/rolled.jpg"",""altText"":""GripZone Yoga Mat rolled"",""primary"":false}]",true
ff-resistance-band,PowerBand Resistance Set,FitFinder Strength,Set of five latex loop resistance bands from 5 to 50 lbs — colour-coded for progressive overload in home workouts and physiotherapy.,Equipment,Training,34.99,Natural latex,One size,resistance bands;loop bands;progressive overload;home workout;physiotherapy;strength,unisex,/images/products/resistance-band/front.jpg,"[{""url"":""/images/products/resistance-band/front.jpg"",""altText"":""PowerBand Set all five"",""primary"":true},{""url"":""/images/products/resistance-band/detail.jpg"",""altText"":""PowerBand colour coding detail"",""primary"":false}]",true
ff-foam-roller,RecoverGrid Foam Roller,FitFinder Essentials,High-density 45cm foam roller with a tri-zone grid surface — targets trigger points for myofascial release and post-training recovery.,Equipment,Training,39.99,High-density EVA foam,One size,foam roller;myofascial release;trigger point;recovery;high density;grid;massage,unisex,/images/products/foam-roller/front.jpg,"[{""url"":""/images/products/foam-roller/front.jpg"",""altText"":""RecoverGrid Foam Roller front"",""primary"":true},{""url"":""/images/products/foam-roller/grid.jpg"",""altText"":""RecoverGrid tri-zone surface"",""primary"":false}]",true
